HSCode,Commodity,value,country,year
74,COPPER AND ARTICLES THEREOF.,30.55,KUWAIT,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",89.22,KUWAIT,2018
74,COPPER AND ARTICLES THEREOF.,0.53,LATVIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.59,LATVIA,2018
74,COPPER AND ARTICLES THEREOF.,8.44,LEBANON,2018
74,COPPER AND ARTICLES THEREOF.,0.25,LIBERIA,2018
74,COPPER AND ARTICLES THEREOF.,3.45,LIBYA,2018
74,COPPER AND ARTICLES THEREOF.,2.41,LITHUANIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.96,LITHUANIA,2018
74,COPPER AND ARTICLES THEREOF.,36.76,LUXEMBOURG,2018
74,COPPER AND ARTICLES THEREOF.,0.03,MACAO,2018
74,COPPER AND ARTICLES THEREOF.,601.84,MALAYSIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",101.9,MALAYSIA,2018
74,COPPER AND ARTICLES THEREOF.,0.54,MALDIVES,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,MALDIVES,2018
74,COPPER AND ARTICLES THEREOF.,0.02,MALTA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.09,MALTA,2018
74,COPPER AND ARTICLES THEREOF.,3.03,MAURITANIA,2018
74,COPPER AND ARTICLES THEREOF.,0.98,MAURITIUS,2018
74,COPPER AND ARTICLES THEREOF.,0.82,MEXICO,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.25,MEXICO,2018
74,COPPER AND ARTICLES THEREOF.,2.46,MOROCCO,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.11,MOROCCO,2018
74,COPPER AND ARTICLES THEREOF.,16.84,MOZAMBIQUE,2018
74,COPPER AND ARTICLES THEREOF.,9.47,NEPAL,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.04,NEPAL,2018
74,COPPER AND ARTICLES THEREOF.,46.63,NETHERLAND,2018
